name,artists,id_artists,release_year,popularity,duration_minutes,key,mode,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rucki Zucki,Ernst Neger,1XLKHhjJULI2uhgtBCWOHk,1990,21,2.51955,Sol,1,0,0.666,0.486,-10.743,0.0368,0.662,0,0.202,0.914,116.906
"Il court, il court le furet",Clémentine,6A03sWpZmAsYFVV5f6IGVQ,1990,18,1.19,Do,1,0,0.771,0.464,-12.438,0.0378,0.61,0,0.277,0.99,119.942
That Kind Of Woman,Gary Moore,23wr9RJZg0PmYvVFyNkQ4j,1990,30,4.49955,Mi,1,0,0.674,0.507,-14.46,0.0328,0.387,0,0.176,0.801,118.103
Żywe cienie,Bajm,1ckVZCWKKoeh5GhtidoU4D,1990,13,4.401116667,Do,1,0,0.573,0.621,-13.927,0.0416,0.421,1.25E-05,0.111,0.629,159.992
Walkaway,David Foster,0SgQK24WzZf2pXBXYqHJYF,1990,22,4.313116667,Sol(b),1,0,0.595,0.671,-9.535,0.026,0.144,0.000132,0.082,0.623,99.906
"Main Title - From ""Back To The Future Part III""",Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,1990,33,3.133333333,Do,1,0,0.199,0.0255,-28.464,0.0417,0.599,0.12,0.119,0.038,81.323
Sinä (yönä lähtivät jäät),Juice Leskinen,4W6vvLzFQKixmJXSJK3wLp,1990,6,3.692666667,Do,1,0,0.571,0.147,-21.312,0.0416,0.784,0.00315,0.0704,0.425,115.603
Humbta-Tätärä,Ernst Neger,1XLKHhjJULI2uhgtBCWOHk,1990,21,2.348883333,Sol,1,0,0.752,0.512,-11.436,0.0425,0.551,0,0.113,0.959,110.178
Lusa,Oliver N'Goma,2uxhKBl696bCNHmtO9rnWc,1990,19,5.391116667,Fa,1,0,0.647,0.632,-12.864,0.0358,0.187,0.559,0.0961,0.825,101.918
L'épervier,Hugues Aufray,6TOGbRYHQizlf3adIyugol,1990,13,2.366666667,Mi,1,0,0.446,0.598,-9.107,0.0593,0.0152,3.17E-06,0.138,0.765,62.365
Warmup Allegro La Bayadere,Debbi Parks,2bbNYL6eEFGAhe4DbFVLLf,1990,7,1.039033333,Re,1,0,0.654,0.428,-12.379,0.0737,0.965,0.923,0.0758,0.98,99.823
Das Duell (Yu-Gi-Oh!),Anime Allstars,6pHNd7opVLI17k79GvvIAb,1990,20,1.059333333,Re,0,0,0.367,0.922,-7.864,0.0765,0.0127,0.156,0.357,0.414,219.893
Talk To Me,Europe,7Js6Lde8thlIHXggv2SCBz,1991,31,4.097116667,Re,1,0,0.541,0.881,-6.417,0.0302,0.0105,2.01E-06,0.0883,0.773,97.477
Croire,Lara Fabian,7ocwZINHqO9DZJgFtc1B20,1991,17,2.748,Sol(b),1,0,0.566,0.269,-11.009,0.0254,0.732,5.31E-05,0.102,0.119,88.662
Maria,Dave Brubeck,3kUKwTJdH8FuWzF8p6Dg9E,1991,31,3.24445,Do,1,0,0.563,0.211,-18.549,0.0478,0.843,0.00827,0.09,0.45,80.629
"Adieu, mon amour",Orchester Anthony Ventura,2hHn2RczMs5jxSd3a7rFXK,1991,17,2.827783333,Mi,1,0,0.374,0.15,-15.638,0.0299,0.94,0.687,0.087,0.0397,63.954
